ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000204859	ZBTB48	1	6640061	6649340	1	protein_coding	3104	ZBTB48	0.680198376469515	0.486680758	11	3.148	51	2.8726e-07	5.47733e-11	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts	+	No	NA	2.8e-10	rs10779795;rs6577584	3
ENSG00000162413	KLHL21	1	6650784	6674667	-1	protein_coding	9903	KLHL21	0.00107735176759231	0.105066524	36	12.54	82	1.29055e-08	4.70904e-05	GTEx/v8/Artery_Tibial:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle	+	No	NA	3.7e-13	rs10779795;rs6577584	3
ENSG00000116273	PHF13	1	6673745	6684093	1	protein_coding	148479	PHF13	0.931111283002542	-0.60083022	30	12.54	164	6.84709e-29	3.76497e-23	GTEx/v8/Whole_Blood:GTEx/v8/Spleen	-	No	NA	3.7e-13	rs6577584;rs10779795;rs4908901	3
ENSG00000041988	THAP3	1	6684926	6695646	1	protein_coding	90326	THAP3	0.00148422474585026	-0.052881683	33	12.54	164	2.83758e-34	1.72328e-43	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	+	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	3.7e-13	rs6577584;rs10779795;rs4908901;rs6577584:rs10779795	3
ENSG00000007923	DNAJC11	1	6694228	6761984	-1	protein_coding	55735	DNAJC11	0.999970790294974	0.744750357	103	19.17	50	1.8117e-08	6.73501e-05	GTEx/v8/Artery_Tibial:GTEx/v8/Testis	-	Yes	IMR90:Mesenchymal_Stem_Cell	3.7e-13	rs6577584;rs10779795;rs6577584:rs10779795:rs4908672:rs1891215;rs4908672:rs1891215	3:4
ENSG00000171735	CAMTA1	1	6845384	7829766	1	protein_coding	23261	CAMTA1	0.999999955418418	-0.820340672	24	13.39	22	2.28573e-11	6.85467e-15	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Brain_Cerebellum:GTEx/v8/Lung:GTEx/v8/Thyroid	+	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	1.3e-11	rs4908672;rs1891215;rs10779795:rs6577584:rs4908672:rs1891215;rs4908672:rs1891215	3:4
ENSG00000049245	VAMP3	1	7831329	7841492	1	protein_coding	9341	VAMP3	0.0542630674689049	-0.084151033	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:Spleen:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	3.7e-13	rs6577584:rs10779795:rs4908672:rs1891215;rs4908672:rs1891215:rs11121210	3:4:5
ENSG00000049249	TNFRSF9	1	7979907	8000926	-1	protein_coding	3604	TNFRSF9	0.253050500972917	-0.271623752	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	NA	rs11121210	5
ENSG00000116288	PARK7	1	8014351	8045565	1	protein_coding	11315	PARK7	0.903949397411231	0.085881436	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	NA	rs11121210	5
ENSG00000116285	ERRFI1	1	8064464	8086368	-1	protein_coding	54206	ERRFI1	0.046551582399882	0.149372713	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:hESC	1.3e-09	rs11121210	5
ENSG00000162426	SLC45A1	1	8377886	8404227	1	protein_coding	50651	SLC45A1	0.0451892558909179	NA	0	0	142	1.70522e-12	7.73276e-23	GTEx/v8/Artery_Aorta:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Muscle_Skeletal	-	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	1.3e-09	rs11121210	5
ENSG00000142599	RERE	1	8412457	8877702	-1	protein_coding	473	RERE	0.999995655258253	-0.582722314	168	16.75	142	8.8457e-52	2.21589e-44	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid	+	Yes	Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Trophoblast-like_Cell	1.3e-09	rs11121210	5
ENSG00000074800	ENO1	1	8921061	8939308	-1	protein_coding	2023	ENO1	0.0103734127326719	-0.884759001	0	0	140	2.16563e-07	5.87561e-30	GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Nerve_Tibial	-	Yes	Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Trophoblast-like_Cell	1.3e-09	rs11121210	5
ENSG00000142583	SLC2A5	1	9095166	9148537	-1	protein_coding	6518	SLC2A5	5.67732629021242e-05	2.419717259	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	1.3e-09	rs11121210	5
ENSG00000171621	SPSB1	1	9352939	9429591	1	protein_coding	80176	SPSB1	0.709596082305861	0.615742611	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	4.2e-09	rs11121210	5
ENSG00000171612	SLC25A33	1	9599541	9645237	1	protein_coding	84275	SLC25A33	0.451158319130907	-0.889699488	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	2.8e-09	rs11121210	5
ENSG00000142655	PEX14	1	10532345	10690815	1	protein_coding	5195	PEX14	0.634568377657546	-0.549492539	0	0	1	2.91349e-05	0.0401214	GTEx/v8/Artery_Aorta	NA	No	NA	NA	rs2273348	7
ENSG00000130940	CASZ1	1	10696661	10856707	-1	protein_coding	54897	CASZ1	0.999938476327784	-1.10487578	35	16.88	18	1.48474e-05	0.00225864	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cortex	-	No	NA	2.6e-08	rs284262	6
ENSG00000120948	TARDBP	1	11072414	11085796	1	protein_coding	23435	TARDBP	0.980707836590808	-0.6803251	52	22.2	0	NA	NA	NA	NA	No	NA	2e-09	rs2273348;rs12136082	7
ENSG00000009724	MASP2	1	11086580	11107290	-1	protein_coding	10747	MASP2	1.58468707892368e-14	0.023037073	55	22.2	245	2.52472e-18	6.55409e-14	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Tibial:GTEx/v8/Liver:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Thyroid	+	No	NA	2.5e-14	rs12136082;rs2273348;rs10779751	7
ENSG00000116649	SRM	1	11114641	11120081	-1	protein_coding	6723	SRM	0.869848472217591	NA	42	8.823	204	9.5787e-08	0.000261377	GTEx/v8/Esophagus_Mucosa:GTEx/v8/Nerve_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg	+	Yes	Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-14	rs12136082;rs2273348;rs10779751;rs12136082:rs10779751	7
ENSG00000171824	EXOSC10	1	11126675	11159938	-1	protein_coding	5394	EXOSC10	1.65795367368417e-07	0.238885011	58	14.79	248	4.38579e-23	5.4249e-18	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Lung:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	+	Yes	Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-14	rs10779751;rs2273348;rs12136082;rs12136082:rs10779751:rs10779751	7
ENSG00000198793	MTOR	1	11166592	11322564	-1	protein_coding	2475	MTOR	0.999999999999676	-0.132112632	144	16.38	243	1.85994e-23	1.52573e-18	GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach	+	Yes	Spleen:GM12878:IMR90:Mesendoderm:hESC	2.5e-14	rs10779751;rs12136082;rs2273348;rs10779751:rs10779751;rs2273348:rs10779751	7
ENSG00000171819	ANGPTL7	1	11249398	11256038	1	protein_coding	10218	ANGPTL7	8.44492793664119e-09	0.137700995	13	15.66	248	2.3652e-26	1.74934e-21	GTEx/v8/Adrenal_Gland:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Nerve_Tibial:GTEx/v8/Testis	-	Yes	Spleen:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-14	rs10779751;rs12136082;rs2273348;rs12136082:rs10779751:rs10779751	7
ENSG00000120942	UBIAD1	1	11333263	11356106	1	protein_coding	29914	UBIAD1	0.568905634331064	-0.332782705	16	6.536	0	NA	NA	NA	NA	Yes	Spleen:GM12878:IMR90:Mesendoderm:hESC	2.5e-14	rs10779751;rs10779751:rs10779751;rs2273348:rs10779751;rs12136082	7
ENSG00000204624	PTCHD2	1	11539223	11597641	1	protein_coding	57540	PTCHD2	4.16505137948208e-05	-0.046665974	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	6.2e-12	rs10779751	7
ENSG00000116661	FBXO2	1	11708424	11715842	-1	protein_coding	26232	FBXO2	0.273382985936642	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	2.5e-14	rs10779751:rs10779751;rs2273348:rs10779751;rs12136082	7
ENSG00000132879	FBXO44	1	11714432	11723384	1	protein_coding	93611	FBXO44	3.59578966017025e-05	-0.32304855	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	2.5e-14	rs10779751:rs10779751;rs2273348:rs10779751;rs12136082	7
ENSG00000116663	FBXO6	1	11724181	11734411	1	protein_coding	26270	FBXO6	0.00048573148176465	0.099377607	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	4.5e-14	rs10779751:rs10779751;rs2273348:rs10779751;rs12136082	7
ENSG00000116670	MAD2L2	1	11734537	11751707	-1	protein_coding	10459	MAD2L2	0.202505866427509	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	4.5e-14	rs10779751:rs10779751;rs2273348:rs10779751;rs12136082	7
